87649,83553,86094,82966,80171,73595,71107,71905,66635,65474,67678,69974,78107,77714,85924,93721,94069,92279,93831,93811,92433,92810,91476,87432,79294,75751,68310,64211,58340,59026,54871,46159,35685,20655,13284,12387,17744,18997,21680,23849,26128,32991,36608,38574,52002,60504,61924,62719,69443,69938,69197,69903,72897,71551,74939,76785,73615,73989,73211,66449,65874,66003,62318,64864,68691,65148,68244,64610,68075,76126,89956,96879,95030,95042,96897,100217,103052,105433,107353,107750,102873,103344,101253,102619,98219,98938,102251,105027,104640,108302,113656,120461,129782,134472,137115,139087,140151,142307,142736,146106,152164,153456,158356,163288,161683,161203,160089,151290,148214,146057,142990,137011,129294,125606,125088,121943,120647,118962,121964,128196,133064,135522,138086,136485,135486,135261,136972,140815
91863,93724,90386,85236,85010,84239,79361,75190,69410,69357,69874,72608,76433,77055,81282,88716,90192,86418,83131,84409,87545,89585,90851,89879,86189,85453,76918,68149,61960,56608,49073,43916,35142,23041,15884,15908,18177,22243,26400,29531,31548,30929,32323,38640,51834,63065,66981,68315,73592,73259,72130,72392,74836,78087,75869,79167,79207,78762,75535,70006,72428,72713,64932,68845,72897,73969,76905,73724,76485,82206,85256,94307,96490,98609,95648,99870,101935,102987,110025,112138,111573,112457,109266,108820,105845,104345,104382,105473,108834,115281,119422,119033,125408,130683,131325,133846,139982,144600,147297,147398,153697,159244,160295,164654,166008,162914,163551,154486,148877,149360,145845,142830,136286,131227,128948,126759,124024,120930,121716,126347,127617,128816,133539,134385,136655,137457,139427,144094
93991,92168,91028,85945,87884,89165,81710,80116,73497,69876,73361,74048,74937,78532,83316,83589,85018,79785,81402,83779,85040,87110,90760,92151,88423,84313,79151,73469,68662,60992,52771,43942,40610,27955,23361,23278,24833,28387,31511,28644,33251,34319,34737,41026,52977,65615,73231,77522,78777,79879,77460,79077,80314,86341,83094,79969,81566,85251,80162,80311,80023,74362,72047,73213,75854,81475,80633,79315,85541,89192,89493,91779,96973,101034,101338,108138,108695,107122,110521,110368,111761,119014,118228,113307,110922,109973,105876,109210,110290,116838,118337,116440,118224,121651,126494,128420,133779,143943,144679,144837,151392,161763,162080,162228,163972,166920,164751,157549,152380,149790,148548,143641,140660,135433,134504,129559,125265,121631,122218,122220,123405,125966,131499,135971,137969,142854,145976,146741
91567,91116,86654,86487,88753,89674,81993,76345,72527,72136,72848,71248,76016,76992,79933,84056,81643,79228,84428,81065,82749,86590,90156,92922,84736,78594,80636,79531,74103,66255,59594,48624,42477,31241,30466,32032,31541,33658,34310,31833,32430,38570,45292,49534,55296,67430,76947,84203,83674,81060,79635,85436,83187,85451,85961,82499,83458,81255,82615,86918,85090,79983,79623,79002,81081,90344,86398,90858,96083,96105,98036,99607,100609,106189,110636,117639,116594,112455,115815,114926,112681,116300,121342,119550,119350,116410,115054,112145,110593,109889,111240,113895,115982,117723,125677,128885,136227,147201,149945,147959,151276,159101,160150,160018,160302,164028,163977,154896,148909,147825,148431,142284,139984,136655,131273,127598,124467,124724,124830,118991,120091,124006,128725,137254,142961,142416,146125,148280
85511,86226,86478,87376,91355,86889,74990,71247,69863,68115,69146,67791,72337,77212,78137,79339,77332,77399,80960,86197,85577,84735,93961,91669,81867,78510,78652,77232,77121,72473,64889,59140,51639,45565,36927,34420,36882,35872,33056,33621,33194,42459,53325,55091,57009,68452,76752,83582,85265,86212,84409,85722,85873,85381,81633,84627,84593,80608,82361,85041,91213,86278,79634,82202,86992,92427,97370,99655,103259,107345,104842,102925,106006,108320,115249,122988,118600,115604,121871,119504,122440,124495,123298,123145,123394,119582,116158,114105,110021,109220,110586,111885,113440,119192,123492,126481,135075,144155,152382,152868,150871,156595,161150,159290,159343,159258,162172,156401,148141,147469,144995,142150,138221,136560,134046,131375,129580,128367,125430,120451,121166,123526,126709,133183,145110,149143,146575,145833
84034,81651,86308,89421,86816,78228,69147,64084,65269,65107,65002,65479,66830,71783,71621,74017,72896,75610,79257,82950,83840,84962,92599,90493,87258,81962,79538,78103,77849,73943,68693,66277,59409,50471,42579,39801,42830,40955,39496,41801,39924,47901,58788,62693,65515,69594,77505,81608,85975,86950,88690,89639,90517,89238,85812,89182,90829,85766,83612,83626,89745,89886,87522,86447,92869,97902,107187,109518,111145,109187,108823,110855,113342,109967,116038,121482,119190,121367,125609,124014,123918,126785,128108,125884,124010,122589,121307,114779,109576,108236,110094,105485,104865,115777,124702,126869,137791,147394,151127,151558,150508,157089,160802,154942,156691,156335,158119,155106,154830,153922,150672,146586,140111,139520,142872,139241,134643,131016,121971,122874,125355,130963,133868,144378,154359,156981,153893,149679
77320,79770,85435,82514,76882,69170,61603,58632,58753,54764,54272,58611,64443,66488,67510,67633,68254,72094,75825,78503,75777,84062,88849,88853,87511,83892,82400,81404,78094,73733,74020,69073,62909,55738,51064,52209,53655,46615,45848,46621,49574,51903,62355,70243,65834,72372,75325,81139,85296,83817,84427,92177,90206,87381,87073,93734,95050,94498,89027,88268,89838,91517,94587,97115,96994,101143,111549,113214,117658,112109,109178,111095,109331,111863,114083,118048,120041,120664,120445,126005,124909,125816,125457,122982,116787,119406,116352,111104,104943,102772,100091,96746,99892,110100,118609,125425,139904,147085,152205,149396,148843,153216,153183,154574,152491,156927,155179,156927,157970,158419,153382,148290,143090,145519,146800,144346,137113,134825,128407,127528,129385,138417,146880,154385,161782,162656,159094,152962
73629,79027,79627,73707,66541,62964,60788,56546,56298,56841,50941,55640,61326,61229,59346,66819,67319,70128,72318,69284,72669,78385,82026,83760,81779,82199,85928,85915,80016,79470,79801,70002,66407,63162,57317,58026,58581,58377,51204,49735,53437,59450,64359,66597,65235,71357,75726,83152,82023,82202,81336,83010,89428,92793,91783,96214,96064,94718,94045,93358,91063,92862,94652,97107,100958,105408,113316,116999,119358,116764,109312,111871,111415,112157,119218,122042,121245,121113,119195,121581,122726,120598,118611,116137,113682,112907,109167,107455,105403,100166,97062,96306,99075,100136,110872,120712,127347,141801,145516,149826,148428,148123,149636,149181,153826,152323,153652,159924,161494,162073,157069,152981,146564,147231,146487,141626,142743,140064,133157,133031,134132,140670,152048,158937,164326,165811,159234,154061
71813,74385,76518,71557,65496,64993,61180,56255,58505,56217,53850,54132,59942,59707,58385,64714,61664,65273,65442,64634,68339,72116,74212,75861,73145,77610,85234,86877,84490,82424,72739,69228,63658,64918,62447,62266,60922,63551,59196,55241,56912,62094,61811,62600,66053,71313,78065,78371,81244,81266,84141,85453,85574,90000,95660,92191,93963,95898,96906,95604,93614,89919,93072,93572,99792,106278,113807,118018,123714,122372,116359,112583,110032,115146,118345,118198,119396,117550,114980,121194,120731,114713,109675,108362,110923,112124,109826,111492,107217,100317,98085,97439,98667,95936,101415,110798,118811,129666,137078,142085,143781,140800,141247,145265,150435,153965,152784,155846,157480,159709,159770,152497,148714,152375,147896,138358,138078,137292,134339,136022,137221,142321,150976,159942,162022,164215,159357,152125
70070,70974,72403,72530,70417,66703,67460,65275,65588,58548,53987,53779,62826,60195,61419,59578,56213,59350,59250,62782,63804,64291,65969,67694,71797,76481,83135,88638,85252,80175,72665,69609,69425,71665,70342,62772,61645,63050,61815,58077,56477,60021,60784,62181,64350,65761,70742,74938,75988,79057,84348,81309,80704,86578,92705,94191,93472,93858,94530,91389,88529,89430,86872,86872,93705,98898,108677,116385,124154,121686,118766,114237,115554,115625,113060,111375,115017,111004,112372,116956,117814,115741,108270,107496,111936,112974,112532,113922,107334,103700,103126,102009,100650,99995,100345,103769,113335,120764,133970,140222,136679,130533,131638,137634,148078,152922,150145,153894,156826,160316,157691,152127,151597,153992,149266,141967,133778,131163,127756,136653,141528,142038,146066,151588,156175,160269,158201,153748
