78997,89685,75013,56930,43814,33363,24919,18655,16971,10179,2379,368,84,191,1224,9916,42899,75775,72531,54854,38434,20436,8926,5077,5033,7472,10323,14779,27135,47627,47508,27335
104579,118351,91196,49898,22775,12390,10307,11274,13740,8674,2995,981,520,725,2177,10416,32090,43972,33281,21096,12919,8143,4465,2146,1509,2102,2765,4341,14712,46877,50023,20973
143290,147948,112929,50544,14805,7121,9051,16184,23917,17013,9554,5279,4256,5029,7964,22118,47417,46658,31536,20710,12117,7638,4022,1718,1069,1584,2351,5230,25116,89091,95155,35721
173098,172881,141339,63049,16106,10431,18836,45648,68237,58257,46442,39050,37754,40621,41453,64826,95142,88004,68855,53262,31428,14656,6012,2454,1563,2737,5481,14503,60075,133568,138581,61845
185183,183294,157497,84749,32922,28610,56495,115467,146342,140290,131601,135492,138447,135961,128674,139202,158788,164930,161127,151585,115233,48041,13790,4695,3273,6687,16768,39224,92882,142917,137050,66944
190759,190988,176920,135714,94107,90917,129278,168427,182151,182587,180826,181843,182187,177461,173845,176863,185709,192891,195196,194685,187067,141310,49731,13998,9049,17405,40719,76896,113536,130434,115175,70336
193476,195103,191420,181980,169286,163872,171231,183917,189500,191263,190846,189527,188189,185462,184740,186283,190867,197343,199386,199225,196553,174576,95941,44090,32648,47412,86101,121338,132075,124078,110408,93959
192524,193734,194359,194058,191865,185844,179060,176317,177479,181984,180700,176616,175766,176572,177486,181900,187291,194246,196996,195599,188477,154222,89937,70504,80714,100388,130702,154163,156340,145820,137652,128100
189175,189625,192319,195737,195370,187129,162612,119701,92228,101708,115684,124226,132448,143033,153750,166530,176734,180620,180027,170191,145019,97449,65459,80838,121270,143966,159124,175562,175692,163203,148134,132856
183308,184968,187741,192013,191893,176840,122206,45770,18493,19969,33663,52914,71378,91881,121315,145555,159915,161086,155425,133218,96447,65435,54772,85425,143947,167470,176626,183489,179819,165985,142750,118818
175341,179729,179002,177577,174485,150908,82092,25984,9424,8262,12398,22179,38318,62784,95329,113398,122908,131683,131195,108454,69334,51216,52639,88109,144085,169442,178934,183215,182088,171726,150284,128506
