43905,68383,70624,140552,81746,139160,125931,61415,46717,176365,109829,120173,84889,18936,62627,160594,9831,12833,137605,127590,134110,140605,115747,77338,28594,94959,77520,27463,197239,152890,73681,187198,136778,118764,10219,72935,166849,43297,10631,142424,72253,94359,63106,28227,139485,44878,171074,60116,125596,152109,164969,123672,172396,162964,182778,196676,95876,71,145958,119782,912,138057,60712,90951
22740,3499,149571,24916,57276,142762,197847,8511,30355,146724,175687,188098,90594,18083,84656,23770,103715,150391,198645,77491,44659,180565,131961,117343,42530,48099,32094,104972,52478,10066,155269,43166,12623,153014,92440,197809,12679,43415,129632,10755,187349,148491,154894,154977,174565,96897,97555,65819,64272,185245,175322,171434,45529,115901,55623,183423,170499,84368,188453,168799,174479,142239,170303,69571
29905,88121,63497,33095,139774,112996,16315,20056,150221,33826,67293,72998,103516,10800,148762,164297,133730,154310,51117,86857,51471,20486,10223,162556,132302,94663,68392,58425,32297,61259,100382,55014,42125,98448,74653,198324,177189,71577,103255,103572,168542,97228,70786,11645,18756,153620,138462,60659,16781,105461,179364,98140,40359,200000,154352,69678,135407,131719,113457,161005,56975,107295,200000,158219
124729,38721,176386,29138,45191,89699,133319,12076,196258,160068,174954,107193,54660,35470,168902,52678,61972,5207,69569,49700,3719,105336,31892,106548,144157,1537,125965,109379,197671,86543,33290,151689,16891,150720,20187,505,28032,184885,45598,108957,57998,166767,146023,101141,90939,136959,127680,14130,41073,139913,49776,19867,181255,134522,172324,200000,127549,13150,113357,64525,121327,168045,59506,73438
41605,96592,1038,70875,85968,125520,129415,148057,182082,63853,164891,21602,163197,52233,139722,107894,177951,16674,13264,20561,193232,33224,162068,164957,13907,111650,70010,150163,85389,145300,100263,148974,48708,45161,93740,103268,195036,125786,99788,72499,18024,76569,100845,40269,150628,177757,130921,178774,32285,24206,41759,131071,147730,122473,30140,16070,118859,199330,188336,48715,200000,149427,47258,41203
159691,60281,39995,15869,10000,968,166731,71182,67423,24336,145001,163967,163258,37149,69233,147960,144594,47702,102064,162258,184614,65727,118462,109828,42784,96869,79135,28796,14656,31696,9664,70344,81135,132521,135426,2030,116692,18042,73549,76231,144870,187031,28290,13817,135964,136995,74116,192687,69391,116393,124430,81277,17038,73097,8679,170369,164176,98814,114700,13022,122246,4042,96596,148096
151551,126610,163242,166879,109562,134119,120379,123438,152512,20938,26525,118492,78505,143028,121921,12515,100853,151049,173703,1104,120379,146835,12209,102029,192543,58894,90919,58599,114378,198575,64611,122340,153539,130266,151893,124243,102035,139720,78426,12834,170880,195222,196856,60332,124345,119575,186902,138594,165123,133122,17180,37148,67447,146684,174836,45287,85184,105337,41563,51697,70080,29739,110677,19949
5360,49630,103474,19348,157320,135673,14052,154032,126989,183305,51830,18113,26505,192973,135636,22465,12600,92517,81615,142345,146315,75103,46362,182002,27667,40250,145422,147422,180791,3330,143530,136207,185886,12583,106026,182617,49009,117694,2655,156774,197822,7153,114540,174421,179491,198014,29681,136772,35903,171595,100445,198931,190936,199741,85564,32244,177429,75206,39490,42438,21666,131196,17504,197768
91502,192652,30310,87353,78629,183623,13263,56985,49404,171911,97107,78764,141015,189786,92041,190764,16540,145815,115950,152006,200000,121123,67301,172957,15769,86103,70566,51086,43062,30291,156707,169828,99701,87978,136570,56924,31327,130280,155469,152446,104995,168437,31195,128881,111007,10816,95596,102884,115517,187003,134102,41041,146086,39819,61819,97481,116650,12203,94157,99766,3593,97522,196674,163620
165728,22939,56809,188721,54836,139606,75142,142048,64840,196930,30045,43510,11175,75968,118345,124110,58534,10971,7255,95524,155121,174189,122025,39044,72643,60578,31171,4633,54850,154678,157550,107001,63485,1211,191617,27223,142966,187799,182430,30370,156579,148321,124527,85063,85374,189066,18549,1609,21924,118391,68727,562,146386,125468,56104,173274,198067,27057,179079,147954,104131,108893,7500,161624
