52120,54652,56841,58604,59870,60584,60716,60260,59236,57687,55679,53289,50606,47718,44710,41660,38633,35683,32850,30165,27645,25300,23132,21141,19318,17657,16145,14773,13529,12402,11382,10458
56235,59173,61742,63842,65386,66306,66560,66138,65057,63368,61142,58472,55458,52206,48817,45381,41976,38664,35493,32496,29693,27094,24701,22510,20513,18699,17055,15568,14224,13011,11916,10927
60622,64020,67024,69514,71385,72552,72961,72594,71467,69633,67173,64194,60814,57156,53338,49468,45638,41920,38369,35023,31905,29024,26382,23972,21784,19803,18015,16404,14953,13647,12472,11415
65270,69187,72685,75624,77875,79337,79939,79653,78493,76514,73807,70494,66710,62601,58305,53950,49643,45470,41494,37759,34290,31098,28180,25530,23133,20972,19028,17282,15716,14311,13051,11920
70165,74659,78713,82161,84851,86659,87497,87325,86151,84033,81070,77399,73177,68572,63747,58852,54013,49333,44884,40717,36859,33321,30102,27188,24563,22205,20093,18203,16514,15003,13653,12445
75280,80411,85082,89101,92290,94498,95620,95599,94438,92193,88972,84927,80236,75092,69687,64196,58769,53525,48552,43906,39619,35702,32150,28948,26076,23506,21212,19167,17345,15723,14276,12987
80577,86402,91751,96402,100147,102811,104266,104440,103324,100974,97503,93075,87892,82173,76140,69998,63925,58061,52509,47335,42576,38243,34328,30813,27672,24873,22384,20173,18211,16469,14921,13546
86010,92580,98661,103999,108355,111527,113363,113777,112747,110324,106622,101818,96131,89810,83107,76264,69489,62948,56762,51010,45735,40947,36638,32783,29352,26306,23608,21221,19110,17241,15587,14121
91517,98876,105734,111805,116817,120541,122804,123503,122605,120152,116256,111098,104914,97977,90576,82989,75460,68186,61313,54933,49095,43814,39078,34858,31114,27804,24884,22309,20039,18038,16272,14711
97029,105208,112877,119712,125411,129718,132443,133469,132753,130324,126287,120820,114166,106622,98511,90149,81824,73768,66156,59099,52655,46843,41647,37033,32956,29365,26208,23435,20999,18858,16975,15316
102464,111481,119978,127592,133990,138894,142102,143488,143002,140661,136554,130845,123778,115663,106851,97703,88552,79675,71278,63498,56407,50025,44338,39305,34873,30984,27577,24595,21985,19699,17693,15932
107735,117594,126917,135305,142392,147885,151575,153340,153127,150942,146851,140996,133602,124980,115508,105587,95599,85872,76655,68113,60336,53351,47142,41665,36859,32656,28987,25787,22995,20557,18425,16558
112752,123437,133567,142701,150445,156493,160643,162786,162877,160915,156940,151054,143450,134424,124364,113711,102899,92313,82252,72918,64422,56803,50047,44104,38906,34374,30431,27004,24024,21429,19168,17192
117422,128902,139802,149638,157984,164530,169091,171587,171997,170318,166562,160779,153108,143812,133273,121961,110366,98934,88021,77875,68637,60361,53036,46608,41001,36129,31904,28242,25067,22312,19917,17831
121657,133888,145506,155981,164859,171827,176729,179530,180250,178899,175459,169920,162348,152943,142067,130204,117895,105653,93900,82939,72947,63997,56087,49160,43133,37910,33394,29492,26120,23201,20670,18472
125377,138300,150575,161620,170949,178252,183408,186447,187446,186445,183404,178246,170941,161610,150564,138288,125364,112375,99816,88052,77306,67677,59173,51738,45284,39705,34894,30748,27175,24090,21423,19111
128510,142060,154925,166469,176171,183720,189040,192233,193458,192805,190222,185562,178689,169617,158584,146054,132642,118993,105684,93149,81664,71362,62264,54321,47436,41499,36391,32000,28225,24974,22170,19745
130996,145103,158491,170470,180477,188198,193596,196857,198240,197905,195810,191738,185437,176795,165958,153347,139589,125393,111411,98156,85963,75006,65326,56878,49568,43275,37871,33237,29262,25846,22907,20370
132789,147378,161229,173590,183857,191698,197112,200363,201825,201757,200148,196716,191090,183024,172549,160024,146075,131456,116898,102991,90139,78558,68317,59382,51656,45014,39322,34449,30277,26700,23627,20981
133857,148853,163108,175817,186323,194270,199671,202859,204322,204454,203298,200519,195626,188234,178254,165967,151977,137070,122044,107572,94123,81965,71197,61798,53675,46698,40727,35624,31261,27528,24326,21573
134179,149505,164113,177149,187903,195980,201385,204495,205902,206154,205394,203242,199087,192416,183019,171089,157191,142128,126755,111814,97846,85171,73920,64092,55597,48305,42070,36748,32205,28322,24997,22142
