52747,53638,54411,55058,55572,55946,56176,56259,56194,55982,55625,55128,54497,53738,52862,51877,50794,49624,48379,47071,45710,44309,42878,41428,39968,38507,37053,35614,34194,32801,31438,30110,28819,27568,26358,25191,24068,22989,21953,20962,20013,19106,18241,17415,16628,15879,15166,14487,13841,13227,12644,12089,11562,11061,10585,10133,9703,9295,8906,8537,8186,7853,7535,7233
54739,55723,56586,57317,57907,58350,58640,58773,58748,58564,58225,57735,57099,56325,55422,54401,53273,52049,50743,49367,47933,46454,44942,43408,41862,40315,38775,37249,35745,34269,32826,31419,30052,28729,27450,26217,25031,23892,22800,21755,20756,19803,18893,18026,17200,16414,15667,14956,14281,13639,13030,12451,11901,11379,10884,10413,9966,9542,9139,8756,8392,8047,7718,7405
56791,57877,58837,59659,60333,60852,61208,61398,61418,61269,60953,60472,59835,59047,58119,57062,55888,54609,53240,51793,50282,48721,47123,45500,43864,42225,40593,38976,37382,35817,34288,32797,31351,29950,28597,27294,26041,24838,23687,22585,21533,20530,19573,18662,17795,16971,16188,15444,14737,14066,13430,12825,12252,11708,11192,10703,10238,9797,9379,8981,8604,8246,7906,7582
58901,60097,61162,62084,62850,63453,63884,64137,64209,64100,63811,63345,62709,61911,60960,59867,58647,57311,55876,54356,52764,51117,49429,47712,45979,44243,42512,40798,39108,37450,35828,34249,32717,31234,29802,28424,27100,25830,24615,23454,22346,21289,20283,19325,18415,17551,16729,15950,15211,14509,13844,13213,12615,12049,11511,11002,10518,10060,9626,9213,8822,8451,8098,7764
61070,62383,63562,64591,65459,66153,66666,66991,67123,67061,66805,66358,65728,64921,63949,62822,61555,60162,58659,57062,55387,53649,51865,50049,48214,46374,44540,42722,40930,39171,37452,35779,34155,32584,31069,29611,28211,26870,25588,24363,23195,22082,21024,20017,19061,18154,17293,16476,15702,14969,14273,13615,12991,12400,11840,11310,10808,10331,9880,9452,9046,8661,8296,7950
63293,64733,66034,67181,68158,68954,69558,69962,70161,70153,69936,69515,68895,68084,67092,65932,64619,63168,61596,59920,58157,56325,54440,52519,50576,48626,46682,44754,42853,40987,39164,37390,35669,34005,32401,30858,29378,27961,26606,25314,24083,22911,21797,20738,19734,18781,17878,17023,16212,15445,14719,14031,13380,12764,12181,11628,11106,10611,10142,9698,9277,8878,8500,8141
65569,67145,68577,69850,70946,71853,72557,73050,73325,73378,73209,72819,72214,71402,70395,69204,67846,66336,64693,62935,61081,59150,57160,55128,53071,51005,48944,46899,44882,42903,40969,39087,37263,35499,33800,32168,30602,29104,27674,26310,25011,23776,22603,21490,20435,19435,18487,17591,16742,15939,15180,14461,13782,13140,12532,11957,11413,10899,10412,9951,9514,9101,8709,8338
67895,69614,71188,72597,73822,74849,75664,76255,76615,76738,76624,76272,75689,74882,73862,72643,71241,69673,67958,66116,64167,62133,60032,57884,55707,53518,51332,49164,47024,44924,42872,40876,38941,37072,35272,33543,31887,30303,28792,27352,25982,24681,23446,22275,21165,20115,19121,18181,17292,16452,15658,14907,14198,13528,12895,12296,11730,11195,10689,10211,9758,9329,8924,8539
70265,72139,73863,75418,76783,77941,78877,79576,80031,80234,80182,79877,79322,78525,77498,76254,74809,73183,71396,69468,67422,65280,63064,60794,58490,56172,53854,51554,49284,47056,44878,42761,40708,38727,36819,34988,33235,31560,29963,28443,26998,25626,24325,23093,21926,20823,19780,18794,17863,16983,16153,15369,14629,13930,13270,12646,12058,11501,10976,10479,10009,9564,9144,8746
72677,74713,76599,78310,79826,81126,82192,83011,83571,83864,83884,83634,83114,82335,81305,80040,78556,76873,75013,72998,70852,68599,66263,63865,61428,58973,56517,54077,51669,49304,46993,44746,42569,40468,38446,36507,34651,32879,31191,29585,28060,26613,25243,23946,22719,21560,20465,19431,18455,17535,16666,15847,15074,14345,13657,13008,12395,11816,11270,10754,10267,9806,9370,8958
